makespan,loadBalance,flowtime,communicationCost,waitingTime
221.0,1.054892601,5530.0,369.0,1312.0
233.0,1.099056604,4988.0,328.0,1206.0
227.0,1.050925926,5161.0,343.0,1040.0
223.0,1.069544365,5127.0,321.0,924.0
218.0,1.021077283,5218.0,335.0,889.0
255.0,1.066945607,5738.0,251.0,1012.0
223.0,1.006772009,5796.0,363.0,1190.0
186.0,1.021978022,4728.0,296.0,889.0
253.0,1.049792531,5847.0,340.0,1104.0
204.0,1.196480938,4723.0,296.0,1037.0
220.0,1.00456621,5225.0,308.0,937.0
241.0,1.043290043,5632.0,305.0,1410.0
224.0,1.002237136,6168.0,328.0,1393.0
238.0,1.034782609,5848.0,321.0,1494.0
235.0,1.068181818,5686.0,318.0,1203.0
259.0,1.070247934,5683.0,354.0,859.0
240.0,1.034482759,6118.0,326.0,1047.0
217.0,1.021176471,5515.0,311.0,888.0
224.0,1.090024331,5622.0,351.0,1244.0
240.0,1.057268722,5960.0,358.0,993.0
213.0,1.049261084,5116.0,326.0,961.0
225.0,1.020408163,5056.0,348.0,961.0
256.0,1.030181087,6355.0,314.0,1262.0
226.0,1.03908046,5057.0,352.0,1325.0
193.0,1.040431267,4613.0,403.0,833.0
220.0,1.002277904,5479.0,324.0,1046.0
189.0,1.018867925,4888.0,361.0,838.0
215.0,1.018957346,5409.0,278.0,965.0
247.0,1.010224949,6383.0,338.0,718.0
205.0,1.002444988,5737.0,298.0,1480.0
259.0,1.019685039,5843.0,375.0,1178.0
198.0,1.093922652,4574.0,362.0,738.0
220.0,1.037735849,5786.0,280.0,1359.0
234.0,1.019607843,4746.0,305.0,645.0
220.0,1.215469613,5080.0,306.0,1351.0
243.0,1.049676026,5504.0,333.0,1296.0
212.0,1.021686747,5439.0,358.0,1021.0
233.0,1.021929825,5515.0,295.0,951.0
177.0,1.079268293,4304.0,387.0,902.0
221.0,1.0,5437.0,371.0,1117.0
222.0,1.030162413,5826.0,346.0,1121.0
237.0,1.019354839,6094.0,321.0,1575.0
248.0,1.042016807,5649.0,416.0,1060.0
209.0,1.097112861,4553.0,299.0,689.0
204.0,1.007407407,5421.0,329.0,1231.0
259.0,1.003875969,5896.0,362.0,765.0
235.0,1.032967033,5801.0,379.0,1275.0
226.0,1.07875895,5277.0,360.0,1053.0
231.0,1.006535948,5574.0,329.0,1255.0
253.0,1.003968254,6372.0,364.0,1420.0
246.0,1.0,5348.0,345.0,938.0
253.0,1.078891258,5220.0,294.0,722.0
218.0,1.009259259,5040.0,333.0,995.0
202.0,1.004975124,5369.0,346.0,971.0
193.0,1.048913043,4644.0,314.0,913.0
223.0,1.006772009,5164.0,282.0,1026.0
200.0,1.030927835,4919.0,326.0,928.0
244.0,1.051724138,5527.0,335.0,809.0
241.0,1.085585586,5598.0,343.0,1202.0
240.0,1.066666667,5593.0,328.0,1189.0
212.0,1.076142132,4689.0,279.0,1019.0
195.0,1.098591549,4474.0,336.0,709.0
222.0,1.027777778,5028.0,307.0,1024.0
245.0,1.042553191,5476.0,331.0,1007.0
219.0,1.011547344,5317.0,295.0,1106.0
239.0,1.021367521,6000.0,358.0,1200.0
227.0,1.022522523,5270.0,331.0,1087.0
225.0,1.025056948,5068.0,338.0,869.0
240.0,1.021276596,5934.0,378.0,953.0
232.0,1.01754386,5702.0,307.0,1278.0
212.0,1.04691358,5587.0,373.0,1171.0
192.0,1.0,4812.0,294.0,929.0
247.0,1.018556701,5684.0,342.0,737.0
239.0,1.04595186,5379.0,393.0,1008.0
236.0,1.077625571,5893.0,342.0,990.0
243.0,1.002061856,6161.0,310.0,1156.0
249.0,1.046218487,6131.0,297.0,1633.0
226.0,1.118811881,5734.0,321.0,1344.0
228.0,1.008849558,5526.0,312.0,1085.0
203.0,1.046391753,4629.0,334.0,787.0
233.0,1.024175824,5318.0,387.0,1116.0
203.0,1.004950495,5313.0,309.0,1103.0
225.0,1.053864169,4774.0,357.0,1343.0
206.0,1.014778325,4850.0,286.0,750.0
249.0,1.048421053,5568.0,326.0,1106.0
225.0,1.013513514,5170.0,317.0,1265.0
220.0,1.025641026,5139.0,305.0,1017.0
189.0,1.005319149,4708.0,350.0,852.0
238.0,1.019271949,5774.0,360.0,1228.0
239.0,1.086363636,5788.0,308.0,903.0
292.0,1.035460993,6540.0,372.0,1390.0
265.0,1.0056926,6618.0,370.0,1250.0
221.0,1.0,6165.0,394.0,1172.0
231.0,1.033557047,5417.0,354.0,1008.0
215.0,1.021377672,5244.0,326.0,1368.0
188.0,1.016216216,4573.0,370.0,999.0
267.0,1.068,6693.0,406.0,1377.0
217.0,1.1043257,5068.0,341.0,1043.0
202.0,1.030612245,4585.0,303.0,815.0
199.0,1.023136247,4974.0,361.0,1162.0
240.0,1.010526316,5553.0,309.0,1019.0
216.0,1.048543689,5098.0,353.0,778.0
216.0,1.004651163,5603.0,300.0,1094.0
224.0,1.046728972,5684.0,330.0,1061.0
240.0,1.032258065,5533.0,311.0,1326.0
214.0,1.036319613,4978.0,322.0,1076.0
237.0,1.084668192,5788.0,342.0,1156.0
295.0,1.053571429,6303.0,361.0,1172.0
242.0,1.045356371,5959.0,323.0,1166.0
219.0,1.025761124,5552.0,272.0,940.0
270.0,1.015037594,6671.0,387.0,1695.0
237.0,1.087155963,5284.0,392.0,1264.0
223.0,1.044496487,5254.0,317.0,771.0
255.0,1.032388664,5318.0,285.0,927.0
231.0,1.047619048,5786.0,383.0,1198.0
234.0,1.019607843,5447.0,336.0,980.0
173.0,1.026706231,4367.0,243.0,834.0
246.0,1.016528926,5947.0,282.0,966.0
208.0,1.024630542,4859.0,360.0,905.0
245.0,1.025104603,6019.0,367.0,739.0
215.0,1.048780488,5142.0,362.0,1146.0
221.0,1.04,5641.0,385.0,1053.0
207.0,1.098143236,4831.0,286.0,1072.0
242.0,1.075555556,5862.0,289.0,1237.0
247.0,1.064655172,5330.0,338.0,1167.0
222.0,1.006802721,5546.0,321.0,1104.0
231.0,1.118644068,5341.0,335.0,929.0
223.0,1.046948357,5079.0,262.0,1000.0
198.0,1.076086957,4351.0,274.0,780.0
250.0,1.033057851,5382.0,437.0,968.0
226.0,1.008928571,5728.0,337.0,926.0
241.0,1.047826087,5041.0,267.0,777.0
217.0,1.053398058,5135.0,332.0,786.0
217.0,1.118556701,4464.0,325.0,799.0
215.0,1.009389671,5313.0,311.0,815.0
204.0,1.088,4753.0,332.0,852.0
249.0,1.070967742,5709.0,340.0,928.0
238.0,1.008474576,5332.0,415.0,809.0
231.0,1.038202247,5347.0,277.0,1028.0
238.0,1.072072072,6013.0,355.0,1210.0
229.0,1.017777778,5532.0,271.0,584.0
241.0,1.047826087,5947.0,351.0,859.0
233.0,1.059090909,5697.0,343.0,810.0
223.0,1.002247191,5434.0,303.0,1084.0
230.0,1.040723982,4835.0,312.0,651.0
228.0,1.022421525,5091.0,303.0,966.0
209.0,1.18079096,4707.0,323.0,690.0
224.0,1.034642032,5871.0,342.0,1233.0
227.0,1.068235294,5807.0,353.0,1097.0
208.0,1.024630542,4966.0,277.0,711.0
216.0,1.051094891,4628.0,305.0,1039.0
221.0,1.091358025,5281.0,337.0,1117.0
256.0,1.073375262,5525.0,347.0,1157.0
243.0,1.029661017,5677.0,323.0,801.0
279.0,1.016393443,6118.0,308.0,1562.0
221.0,1.03030303,5268.0,330.0,803.0
299.0,1.022222222,7287.0,345.0,1514.0
225.0,1.02739726,5143.0,334.0,955.0
222.0,1.037383178,4955.0,392.0,966.0
222.0,1.037383178,5319.0,329.0,907.0
224.0,1.032258065,5740.0,290.0,1040.0
242.0,1.025423729,5777.0,293.0,1471.0
226.0,1.083932854,5264.0,349.0,885.0
249.0,1.018404908,6317.0,314.0,1208.0
214.0,1.009433962,5421.0,282.0,1266.0
200.0,1.061007958,4995.0,374.0,747.0
211.0,1.047146402,5017.0,335.0,764.0
270.0,1.015037594,6415.0,388.0,1398.0
244.0,1.020920502,5606.0,315.0,869.0
219.0,1.103274559,4841.0,282.0,922.0
242.0,1.006237006,6080.0,361.0,1526.0
237.0,1.102325581,5213.0,301.0,734.0
200.0,1.017811705,5465.0,310.0,1290.0
202.0,1.119113573,4962.0,328.0,969.0
249.0,1.046218487,5849.0,315.0,1197.0
249.0,1.050632911,6545.0,299.0,1332.0
227.0,1.070754717,5520.0,335.0,1216.0
235.0,1.063348416,5552.0,355.0,898.0
215.0,1.053921569,5475.0,246.0,1136.0
204.0,1.051546392,4744.0,326.0,747.0
226.0,1.018018018,5043.0,370.0,821.0
246.0,1.037974684,5465.0,312.0,1065.0
246.0,1.022869023,5099.0,312.0,1017.0
209.0,1.032098765,5123.0,303.0,975.0
209.0,1.02200489,5662.0,393.0,1428.0
234.0,1.002141328,5935.0,400.0,1103.0
242.0,1.014675052,5572.0,320.0,1189.0
214.0,1.007058824,5546.0,374.0,961.0
253.0,1.065263158,6122.0,336.0,1467.0
226.0,1.036697248,5381.0,372.0,1049.0
224.0,1.009009009,5664.0,365.0,938.0
203.0,1.022670025,5451.0,306.0,1017.0
209.0,1.042394015,5206.0,334.0,1267.0
268.0,1.011320755,7268.0,279.0,1882.0
239.0,1.096330275,5237.0,351.0,880.0
213.0,1.03649635,5109.0,250.0,1144.0
195.0,1.026315789,4908.0,338.0,1289.0
242.0,1.034188034,5458.0,390.0,1158.0
251.0,1.020325203,5649.0,318.0,1038.0
227.0,1.022522523,5830.0,323.0,1432.0
264.0,1.03125,6388.0,368.0,1024.0
237.0,1.006369427,5801.0,329.0,1217.0
188.0,1.016216216,4522.0,308.0,828.0
262.0,1.03968254,6282.0,297.0,1117.0
202.0,1.041237113,5184.0,314.0,970.0
